"","text","subject_label","subject_predicted"
"1","Informal. Revise to make it formal. Use your best judgement to locate other informal/colloquial terms/texts/formats used elsewhere in the report and revise accordingly.",2,2
"2","Display this as a graph as it’s much easier to visualize the change than a table.",3,3
"3","What do you think went wrong with your experiment? Why do you think the Manduca did not do what you thought?",4,2
"4","Check the y-axisAmplitude of contraction (V)",3,3
"5","Just say that there was significant difference between the groups (t = , df = , P = )",3,3
"6","Your axes also need units (probably volts)",3,3
"7","How much?",3,3
"8","(Un)paired? Tails?",3,3
"9","What does this have to do with aggression",4,2
"10","any time you have an average graphed, you will need standard deviation bars (The standard deviation error bar option on excel doesn’t work properly, take a look at the resource guide or email me to learn how to add it properly). As such, this graph should have 16 total standard deviation bars.",3,3
"11","Give more details specific to this pathway in particular to aid in your assertion that cAMP phosodiesterase inhibition will lead to growth.",3,2
"12","wasn’t it ~22 hours? Be consistent with your incubator time period",3,3
"13","Provide biological reasoning behind your expectation",4,4
"14","Informal. Use your best judgement to locate all the informal/colloquial terms/texts/formats used in this report and revise accordingly.",2,2
"15","What type of data is this, length or weight?",3,3
"16","Don’t state observations in the figure caption, look at the core resource guide and primary literature to see what goes into a figure caption",3,3
"17","Why didn’t you average",3,3
"18","Report means as mean +/- SD",3,3
"19","Biotic or abiotic? What are you actually trying to say here? “all were regulated in the greenhouse” sounds science-y but isn’t informative.",2,2
"20","If full sunlight have the largest R:S, doesn’t that mean that plants are allocating more energy to roots than shoots?",4,4
"21","Integrate more journal articles (primary sources) instead of websites. Particularly the Smithsonian reference – there are many journal articles that provide the same information.",3,3
"22","Did you follow up with a Tukey-Kramer? What were the results of that? How did red and blue compare statistically?",3,3
"23","This graph is shown with more detail by the line graph below so this graph is not needed.",3,3
"24","Also, try pasting your original figures with captions rather than pasting an image.",3,3
"25","JH doesn’t really affect 20E nor vice versa, they work together at different levels all controlled by the hormone system",3,4
"26","Units?",3,3
"27","I don’t see how this information relates to decreased aggression in turbid waters.",4,4
"28","Can you be more clear in this sentence? I get the idea, but it is hard to follow.",2,2
"29","Wrong indication. Figure 1 is your reagent table.",3,3
"30","Not necessary",2,2
"31","The citation format for the lab manual is [Johnson : 2018]. Make sure all your other citations have brackets and not parentheses",3,3
"32","Improperly formatted error bars",3,3
"33","I think this is a qualitative result of your experiment. So this information should e in the results also.",3,3
"34","Not necessary, you already mention that you used Ringer solution.",3,3
"35","This sentence only make sense if you mention those applications, but just saying that logical applications have been carried previously, you are not giving new relevant information.",2,2
"36","I think you guys tested the opposite of this (How mass was affected by JH)",3,4
"37","Why? What is affected mechanistically?",4,3
"38","They are +/- 1 standard deviation. Also report your stats in the figure caption",3,3
"39","Can you be more specific in your title? At least mention the physiological process that you studied",3,2
"40","Sorry. My last comment wasn’t clear. I’m not asking why you care about your data (that is fairly obvious) but why we (your readers) should care about this type of research in general. What might this experiment tell us about the importance of potassium in muscles? How about the effects of this particular chemical as a potential treatment for something?",4,4
"41","This is not necessary here. They are different, so they should be different in the graphs",3,3
"42","there is probably a citation for this, and why would you want to do this experiment? unclear",3,3
"43","How does this happen? You should mention the role of AchE in the synapse to understand your hypothesis",4,4
"44","Like we discussed in class, you need primary literature in your intro",1,2
"45","I don’t think you were stimulating the muscle for nearly long enough to cause fatigue",3,4
"46","Wrong tense",2,2
"47","What’s IBMX? What do these compounds do? What effect might they have on this pathway and why? Right now, your hypothesis has little to no support.",4,4
"48","You need some version of your hypothesis near the beginning of your intro.",2,2
"49","Change to lower case p for the entire paper.",2,2
"50","This is the important bit – lead with this, and then speculate about the other sources of error if you wish.",2,4
"51","You already stated that was the average so you don’t need to state it again",2,3
"52","How large? You can quantify it. Be specific.",3,3
"53","This is saying the same than the 11st sentence. Do not repeat information",2,2
"54","This is what I meant by introducing biological background info pertinent to your experiment. I don’t need to know about the special pairs, but I do need to know about plastoquinone.",2,4
"55","Do not include the excel table with the statistics result",3,3
"56","This is the concentration of the hormone, so it should go in the methods section",3,3
"57","What was your main hypothesis. Make sure to include your hypothesis as one of the first sentence in your abstract.",4,2
"58","When you put the author’s name in the sentence, you still need the citation at the end of the sentence, which is a bit annoying I know. Sorry!",3,3
"59","The details of the used equipment and software are not necessary in the Abstract. That is required in the methods. Rewrite this sentence without mentioning that, just summarizing the main idea of the experiment.",2,2
"60","Is this value significant or not?",3,3
"61","As the alpha value was 0.05 which is the standard, it does not need to be mentioned. Only when you use an alpha value different from 0.05 should you mention it.",3,3
"62","revise",2,2
"63","Eclosion is a term more used in a different context. For example, the eggs eclosion and the adult eclosion from the pupa.",3,3
"64","This is a good report, but without primary literature in both intro and discussion, it doesn’t meet the basic requirements. If you fix that major flaw (and pay attention to my smaller comments), you should be able to get a decent overall grade on the revision.",1,1
"65","Instead of saying that, just describe the observation.",2,3
"66","This information is embodied in your stat test and is redundant",3,2
"67","Need more discussion of biological mechanisms here",4,2
"68","Citation format has brackets [], not parentheses ()",3,3
"69","Not technically true, although it is not significant at the alpha level we are using, which is 0.05",3,3
"70","You can use the actual stats and numbers here if you want",3,3
"71","This is descriptive statistics, so you can have this value without running a t-test.",3,3
"72","No need to include this in your abstract (or intro)",2,2
"73","0.110.33",3,3
"74","Not a primary source",3,3
"75","You may want to mention somewhere in here the frog and muscle",3,3
"76","This is a lot of information and would be best shown in a table.",3,3
"77","In the future, focus on just discussing biological mechanisms and comparing to the literature, instead of speculating on sources of error",4,4
"78","Nice figure, tweak your x-axis label “Treatment” and make the Legend bigger so it is easier to read.",3,3
"79","Your tone was not scientific enough throughout the lab report.C",2,2
"80","3 minutes",3,3
"81","Just say no significant difference between treatments (t = , df = , p =)",3,3
"82","This could go in the results",2,3
"83","Check in the Bio Core Guide the correct format for writing the methods. It is recommended to use passive voice, impersonal.",2,2
"84","Do not assume that you did it wrong! Why do you think that there were errors? Only include errors if you are sure that there were errors and they were affecting the results.",4,4
"85","Y-axis label can be a lot shorter, also you need units on it",3,3
"86","Good intro! I would remove some of the info about trifluoroperazine in humans, and add some intro about signaling in general. How does calcium singling relay messages to actin and myosin in Physarum? Also, make explicit the role that actin and myosin play specifically in Physarum.",4,4
"87","Are you sure? They are a pest during the larval phase.",3,3
"88","I forgot to mention this, but what do your error bars represent? Put that here.",3,3
"89","You should use a paired t-test",3,3
"90","Can you be more specific? Emphasize the hormone that was altered with the administration of Martin’s IGR.",2,3
"91","4. When you write an abstract, think of it as a summary of all of your sections of your lab report. So, pick the most important things from your methods, results, and discussions and put it in here.",2,2
"92","Reconsider the y-axisAmplitude of Contraction (V)",3,3
"93","You don’t need to include the p-values of other studies",3,3
"94","I would try to say what trend you saw in general and just come back to saying whether your hypothesis was/wasn’t supported",4,4
"95","Save this for the discussion.",2,2
"96","Should summarize the data in figure 2 into just 2 bars, just like you did for figure 1",3,3
"97","Most of this section is still about energy use instead of the effects of size. Need to have some references about effects of opponent size, even if its from other fish species",2,4
"98","You don’t need to completely restate your results in the discussion. Focus on explaining the results in the context of the costs and benefits of aggression",2,4
"99","Focus especially on writing style (avoid colloquial language, prefacing sentences, etc)",2,2
"100","You don’t need to give reasons explaining the p-value. You should provide explanations for the observations.",3,4
"101","Consider switching the axis. y-axis: Dependent variablex-axis: independent variableit will make the graph easier to understand",3,3
