"","text","subject_label","subject_predicted"
"1","Please report your means +/- SDs, but otherwise, good results section!",3,3
"2","Delete gridlines",3,3
"3","For statistical tests, you only need to state which test was used (in the methods) and your p-value (Results/discussion)",3,3
"4","Can you expand on this a bit? Make the definitions of plasticity and resource allocation really clear for a reader. Good job of integrating a relevant source to support your hypothesis.",2,4
"5","Reconsider the x-axis. Maybe using numbers for the days would be betterAre these averaged values? Where are the SD?",3,3
"6","You could specify the analyzed muscle",3,3
"7","Not a primary source or incorrectly formatted + missing details",3,3
"8","You need to explain the error bars and include statistics",3,3
"9","This is a methods section. It cannot contain hypothesis. Be careful not to add useless details. Examples of TOO much detail are “…I used a paint brush to place a red dot on each grasshopper…” or “...we graphed our data...”",3,2
"10","What do you mean?",3,3
"11","You also don’t need a figure with your statistical results, as you state them in the results section. Keep your one graph (but take away the title – that’s what figure captions are for), try and change the graph so all controls are the same color and all treatments are the same color, so have a more clear legend that breaks down which individuals are control and treatment)",3,3
"12","This would make sense if your hypothesis HAD been supported. What do you make of the fact that there was no significant difference, though? You get to it in the following sentences, but your discussion should make logical sense and not contradict itself. The source you cite looks like it should have some good information in it that will help you build your argument; you can even compare what you found to the results of that study.",4,4
"13","The table doesn’t exist in this report. There shouldn’t be a table anyway, include what would’ve been in your table into your methods section directly",3,3
"14","You don’t need to specify graphing",3,3
"15","I would try to include the trend you saw (did the frequency increase or decrease?)",3,3
"16","You didn’t measure UV here, you used sun vs. shade. Sunlight contains other wavelengths of light aside from UV.",3,4
"17","Precor is just the name of the pesticide. I would leave it as “Precor” rather than “Precor Hormone”",3,3
"18","These are two different cells, so the same action potential (AP) cannot be in both Those are 2 AP, so you are missing some steps in between.",3,3
"19","This is the p-value for the comparison of your results, so it is a result. That should not be in this section. In the methods you only need to mention the type of statistic test that was used and you can specify the p-value used for significance. That is all.",3,3
"20","Within the abstract, the concentration can be left out.",2,2
"21","Make it clear how much each caterpillar actually gets (don’t make your readers do the math themselves)",3,3
"22","In that case, you can omit it. Only include the background information more relevant to understand the experiment",2,2
"23","Insect development has a lot of components. What Specific development is referred here?",2,2
"24","This isn’t really relevant to understanding your experiment, you can take it out.",2,4
"25","With a force transducer",3,3
"26","This experiment cannot quantify this.",3,3
"27","Specify the statistic test for this p-value",3,3
"28","You also need to flesh out those primary resources, what were the studies they did? What did they find? How is it similar to your own?",4,4
"29","Make it clear that by “result”, you mean p-value.",3,3
"30","You should just have the last name of the first author",3,3
"31","What was the effect? Be specific.",3,2
"32","But you did not find a significant difference between reactions to real fish and models, so how can you make this argument?",4,4
"33","[Johnson: 2018]",3,3
"34","Here would be a great place to mention artificial selection",4,2
"35","How can I see this information in the graph? This graph does not show information about the diet, so this should not be included in the figure legend.",3,3
"36","Any research showing this might help to fill out your intro a bit more",4,2
"37","I’m still confused by this statement",2,3
"38","This should go in the results",2,3
"39","This is not actually the correct citation format. I understand that it was in the annotation exercise, but the format your resource guide (p42) asks for is [Author: Year].",3,3
"40","Specify in insects",2,3
"41","Very detailed title! You could possibly make it a bit more concise…",2,2
